욕설,라벨
늬믜,1
늬미,1
니년,1
니믜,1
니미럴,1
니애미,1
머갈,1
정병,1
시바알,1
도른,1
씨벌,1
뒈져,1
씹뻐럴,1
시펄,1
쉬펄,1
쉬버,1
씨뻘,1
찝째끼,1
디지고,1
D지고,1
D쥐고,1
씹못,1
시바류,1
시바,1
미친~,1
시바라지,1
졸라,1
개같이,1
디져라,1
ㅉ질한,1
ㅅㅂ,0
또라이,0
똘아이,1
레친,1
ㅁㅊ,0
ㅁ친,1
믜칀,1
믜친,1
미0친,1
미시친발,1
미췬,1
미칀,1
죽여,0
죽어,0
죽여불고,1
미틴,1
및힌,1
별창,1
병0신,1
병신,0
븅신,1
빠큐,0
뻐규,1
뻐큐,0
뻑유,0
뻑큐,0
뻨큐,0
뼈큐,1
ㅂㅅ,0
ㅄ,1
ㅅ.ㅂ,1
ㅅ0ㅂ,1
ㅅ0발,1
ㅅㄲ네,1
ㅅㄲ들,1
새0끼,1
새0키,1
새77ㅣ,1
새퀴,1
새킈,1
새키,1
색희,1
색히,1
샊기,1
샊히,1
샹년,1
섀키,1
쉬이바,1
슈0발,1
슈레기,1
슈발,1
슈ㅣ발,1
시0발,1
시미발친,1
시미친발,1
시발,1
시새발끼,1
씨새발끼,1
시부울,1
시방새,1
시벌탱,1
시볼탱,1
시빨,1
시이발,1
시친발미,1
시팔,1
개련,1
십창,1
십팔,1
ㅆ0ㄺ,1
ㅆ0ㅂ,1
ㅆㄹㄱ,1
ㅆㄺ,1
ㅆㅂ,1
쌍년,1
쌍놈,1
쌔끼,1
썅,0
썌끼,1
쒸펄,1
쓰0레기,1
쓰렉,1
씝창,1
씨0발,1
씨바라,1
씨발,0
씨방새,1
씨벌탱,1
씨볼탱,1
씨빨,1
시바앙,1
시바시바,1
쉬발,1
개년,1
개 같,1
씨이발,1
씨팔,1
씹,0
씨빠빠,1
사새끼,1
씨바알,1
씹창,1
씹팔,1
씹할,1
아닥,1
앰창,1
뷩신,1
븽신,1
빙신,1
엠생,1
엠창,1
옘병,0
ㅈㄴ,0
ㅈ.ㄴ,1
ㅈㄹ,0
절라,1
젼나,1
젼낰,1
졀라,1
졌같은,1
조낸,1
조녜,1
조온나,1
족까,1
존 나,1
존.나,1
존0,1
존0나,1
존귀,1
존귘,1
존ㄴ나,1
쥰내,1
존나,1
존버,1
존내,1
존똑,1
존맛,1
존멋,1
존싫,1
존쎄,1
존쎼,1
존예,1
존웃,1
존잘,1
존잼,1
존좋,1
존트,1
졸귀,1
졸귘,1
졸맛,1
졸멋,1
졸싫,1
졸예,1
졸웃,1
졸잼,1
졸좋,1
좁밥,1
좃,1
종나,1
jot같,1
젗같,1
싸물어,1
씨버럼,1
개쓰래기,0
좆까,0
좇,1
죠낸,1
죠온나,1
죤나,1
죤내,1
죵나,1
죽어버려,0
줬같은,1
쥐랄,1
씹쌔,1
쥰나,1
쥰니,1
쥰트,1
즤랄,1
지 랄,0
지0랄,1
지랄,0
지롤,1
짱깨,0
짱께,1
쪼녜,1
쪽0바리,1
쪽바리,0
쫀 맛,1
쫀귀,1
쫀맛,1
쬰잘,1
쯰질,1
찌0질,1
창년,0
창놈,0
호로,0
화낭년,0
후.려,1
후0려,1
후0빨,1
후빨,0
색슈,1
쟈위,1
뽀zy,1
뽀zi,1
뽀z,1
뽀jy,1
뽀ji,1
뽀g,1
보zy,1
보zi,1
보z,1
보jy,1
보ji,1
보g,1
g롤,1
g럴,1
g랄,1
c불,1
자g,1
자ji,1
잠G,1
잠ji,1
za지,1
ja지,1
후좡,1
후빨,1
핑보,1
핑두,1
폰쎅,1
폰섹,0
퍽큐,0
콜걸,0
창녀,0
찌찌,0
찌랄,1
쫒까,1
쫍밥,1
쪽바리,0
짭새,0
지미룰,1
지미럴,1
지뤌,1
지룰,1
지뢀,1
지롤,1
지럴,1
지랼,1
지랄,0
즤랄,1
쥐룰,1
쥐뢀,1
쥐롤,1
쥐럴,1
쥐랄,1
죹,1
죷,1
죶,1
죳,1
죠빱,1
죠밥,1
좉,1
좇,1
좆,0
종간나,0
좃,1
좁빱,0
좁밥,0
좁물,1
좀만한,1
좀만아,1
졷,1
존니,1
존나,0
족바리,1
족같내,1
조오또,1
조센징,0
조빱,1
졏텡,1
졏탱,1
졏밥,1
졏물,1
졎텡,1
졎탱,1
졎밥,1
졎물,1
졎까,1
졋텡,1
졋탱,1
졋밥,1
졋물,1
졋까,1
젼나,1
져빱,1
져까,1
젗텡,1
젗탱,1
젗물,1
젗까,1
젖통,0
젖텡,1
젖탱,1
젖밥,1
젖물,1
젖도,1
젖더,1
젖까,1
젓텡,1
젓탱,1
젓빱,1
젓밥,1
젓냄새,1
잡새끼,0
잡뇬,1
잡년,1
잠즤,1
잠쥐,1
자즤,1
자쥐,1
육씨럴,1
육시럴,1
육시랄,0
우라질,0
염뵹,1
염뱅,1
엠병,1
엄창,1
얨병,1
앰병,1
씹털,1
씹창,0
씹질,0
씹즬,1
씹쥘,1
씹자식,0
씹자슥,1
씹자석,1
씹올,1
씹쌍,1
씹새,0
씹물,0
씹년,0
씹녀,0
씹구멍,0
씝창,1
씌벌,1
씌발,1
쐉년,1
쎅쓰,1
쎅스,1
쎄액쓰,1
쎄액스,1
쌕쓰,1
쌕쑤,1
쌕스,1
쌕수,1
쌍뇬,1
쌍년,0
쌍냔,1
쌉쳐,1
십탱,1
십창,1
쉑스,1
셁스,1
섻스,1
섹할,1
섹쓰,1
섹쓔,1
섹쑤,1
섹슈,1
섹수,1
샵년,1
색녀,0
색꼴,0
새액스,1
상뇬,1
상년,0
상냔,1
사까쉬,1
뿡얼,1
뿡알,1
뿔얼,1
뿔알,1
뽕알,1
뽁큐,1
뽀큐,1
뽀즤,1
뽀쥐,1
뻑큐,0
뻑유,0
뻐킹,0
뻐큐,0
빡큐,1
빡울,1
빡우리,1
빡우릐,1
빡우뤼,1
빠큐,1
빠꾸리,1
빠꾸릐,1
빠꾸뤼,1
빠굴,1
빠구리,0
빠구릐,1
빠구뤼,1
빙싄,1
빙쉰,1
빙띤,1
븡알,1
븡신,1
브럴,1
븅신,1
븅싄,1
븅쉰,1
뷰웅신,1
붱신,1
붕알,1
붕신,1
부뢀,1
부럴,1
부랄,0
